criterion_id,spine,criterion_title,criterion_year,criterion_director,criterion_country,imdb_tconst,imdb_primaryTitle,imdb_startYear,match_score,match_method
682,683.0,Nashville,1975.0,Robert Altman,"United States,",tt0073440,Nashville,1975.0,112.0,auto
684,685.0,Touki bouki,1973.0,Djibril Diop Mambéty,"Senegal,",tt0070820,Touki Bouki,1973.0,112.0,auto
685,686.0,Redes,1936.0,Emilio Gómez Muriel…,"Mexico,",tt0028165,Redes,1936.0,112.0,auto
686,687.0,A River Called Titas,1973.0,Ritwik Ghatak,"Bangladesh,",tt0070809,A River Called Titas,1973.0,112.0,auto
687,688.0,Dry Summer,1964.0,Metin Erksan,"Turkey,",tt0062322,Dry Summer,1963.0,106.0,auto
688,689.0,Trances,1981.0,Ahmed El Maanouni,"Morocco,",tt0406280,Trances,1981.0,112.0,auto
689,690.0,The Housemaid,1960.0,Kim Ki-young,"South Korea,",tt0150980,The Housemaid,1960.0,112.0,auto
690,691.0,Thief,1981.0,Michael Mann,"United States,",tt0083190,Thief,1981.0,112.0,auto
691,692.0,"It’s a Mad, Mad, Mad, Mad World",1963.0,Stanley Kramer,"United States,",tt0057193,It's a Mad Mad Mad Mad World,1963.0,112.0,auto
692,693.0,La vie de bohème,1992.0,Aki Kaurismäki,"Finland,",tt0105750,The Bohemian Life,1992.0,112.0,auto
693,694.0,The Long Day Closes,1992.0,Terence Davies,"United Kingdom,",tt0104753,The Long Day Closes,1992.0,112.0,auto
694,695.0,Blue Is the Warmest Color,2013.0,Abdellatif Kechiche,"France,",tt2278871,Blue Is the Warmest Colour,2013.0,110.0392156862745,auto
695,696.0,Foreign Correspondent,1940.0,Alfred Hitchcock,"United States,",tt0032484,Foreign Correspondent,1940.0,112.0,auto
696,697.0,Tess,1979.0,Roman Polanski,"United Kingdom,",tt0080009,Tess,1979.0,112.0,auto
697,698.0,King of the Hill,1993.0,Steven Soderbergh,"United States,",tt0107322,King of the Hill,1993.0,112.0,auto
698,699.0,A Brief History of Time,1991.0,Errol Morris,"United States,",tt0103882,A Brief History of Time,1991.0,112.0,auto
699,700.0,Fantastic Mr. Fox,2009.0,Wes Anderson,"United States,",tt0432283,Fantastic Mr. Fox,2009.0,112.0,auto
700,701.0,Persona,1966.0,Ingmar Bergman,"Sweden,",tt0060827,Persona,1966.0,112.0,auto
701,702.0,The Great Beauty,2013.0,Paolo Sorrentino,"Italy,",tt2358891,The Great Beauty,2013.0,112.0,auto
702,703.0,The Freshman,1925.0,Sam Taylor and Fred Newmeyer,"United States,",tt0015841,The Freshman,1925.0,112.0,auto
703,704.0,Riot in Cell Block 11,1954.0,Don Siegel,"United States,",tt0047417,Riot in Cell Block 11,1954.0,112.0,auto
704,705.0,Breaking the Waves,1996.0,Lars von Trier,"Denmark,",tt0115751,Breaking the Waves,1996.0,112.0,auto
705,706.0,Master of the House,1925.0,Carl Th. Dreyer,"Denmark,",tt0015768,Master of the House,1925.0,107.0,auto
706,707.0,Il sorpasso,1962.0,Dino Risi,"Italy,",tt0056512,The Easy Life,1962.0,112.0,auto
707,708.0,Like Someone in Love,2012.0,Abbas Kiarostami,"Japan,",tt1843287,Like Someone in Love,2012.0,112.0,auto
708,709.0,Red River,1948.0,Howard Hawks,"United States,",tt0040724,Red River,1948.0,112.0,auto
709,710.0,Judex,1963.0,Georges Franju,"France,",tt0057207,Judex,1963.0,112.0,auto
710,711.0,A Hard Day’s Night,1964.0,Richard Lester,"United Kingdom,",tt0058182,A Hard Day's Night,1964.0,112.0,auto
711,712.0,Scanners,1981.0,David Cronenberg,"Canada,",tt0081455,Scanners,1981.0,112.0,auto
713,714.0,Lola,1961.0,Jacques Demy,"France,",tt0055093,Lola,1961.0,112.0,auto
714,715.0,Bay of Angels,1963.0,Jacques Demy,"France,",tt0056846,Bay of Angels,1963.0,112.0,auto
715,716.0,The Umbrellas of Cherbourg,1964.0,Jacques Demy,"France,",tt0058450,The Umbrellas of Cherbourg,1964.0,112.0,auto
