criterion_id,spine,criterion_title,criterion_year,criterion_director,criterion_country,reason
945,946.0,Eight Hours Don’t Make a Day,1972.0,Rainer Werner Fassbinder,"Germany,",no title candidates
999,1000.0,"Godzilla: The Showa-Era Films, 1954–1975",,,,no title candidates
1035,1036.0,Bruce Lee: His Greatest Hits,,,,no title candidates
1043,1044.0,Martin Scorsese’s World Cinema Project No. 3,,,,no title candidates
1068,1069.0,Céline and Julie Go Boating,1974.0,Jacques Rivette,"France,",no title candidates
1081,1082.0,The Signifyin’ Works of Marlon Riggs,,,,no title candidates
1102,1103.0,Once Upon a Time in China: The Complete Films,,,,no title candidates
1120,1121.0,Eyimofe (This Is My Desire),2020.0,Arie Esiri and Chuko Esiri,"Nigeria,",no title candidates
1141,1142.0,Martin Scorsese’s World Cinema Project No. 4,,,,no title candidates
1158,1159.0,The Infernal Affairs Trilogy,,,,no title candidates
1161,1162.0,Three Films by Mai Zetterling,,,,no title candidates
1162,1163.0,Michael Haneke: Trilogy,,,,no title candidates
1167,1168.0,Lars von Trier’s Europe Trilogy,,,,no title candidates
1171,1172.0,Two Films by Marguerite Duras,,,,no title candidates
1176,1177.0,Small Axe,,,,no title candidates
1185,1186.0,The Ranown Westerns: Five Films Directed by Budd Boetticher,,,,no title candidates
1188,1189.0,Bo Widerberg’s New Swedish Cinema,,,,no title candidates
1193,1194.0,Freaks / The Unknown / The Mystic: Tod Browning’s Sideshow Shockers,,,,no title candidates
1196,1197.0,Jackie Chan: Emergence of a Superstar,,,,no title candidates
1199,1200.0,The Red Balloon and Other Stories: Five Films by Albert Lamorisse,,,,no title candidates
1202,1203.0,"Chantal Akerman Masterpieces, 1968–1978",,,,no title candidates
1205,1206.0,Eric Rohmer’s Tales of the Four Seasons,,,,no title candidates
1206,1207.0,The Heroic Trio / Executioners,,,,no title candidates
1216,1217.0,Three Revolutionary Films by Ousmane Sembène,,,,no title candidates
1222,1223.0,The Underground Railroad,2021.0,Barry Jenkins,"United States,",year window removed all
1228,1229.0,Brief Encounters / The Long Farewell: Two Films by Kira Muratova,,,,no title candidates
1232,1233.0,Gregg Araki’s Teen Apocalypse Trilogy,,,,no title candidates
1235,1236.0,I Walked with a Zombie / The Seventh Victim: Produced by Val Lewton,,,,no title candidates
1252,1253.0,A Woman of Paris,1923.0,Charles Chaplin,"United States,",ambiguous_or_low_confidence
